Property,LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,PoorCondition,GoodCondition,Price
4233,9300,42000,0.15,866,0,0,1,0,0,3,2,0,122.7,0,0,0,33260
4234,4200,20900,0.09,716,0,0,1,0,0,1,3,0,119.5,0,1,0,14364
4235,5600,38100,0.12,1010,0,0,1,0,0,3,3,0,99.8,186,1,0,42762
4236,6300,48300,0.25,1080,0,0,1,0,0,2,4,1,66.3,0,1,0,57000
4237,20500,65900,0.32,910,0,0,1,0,0,2,2,0,92.6,0,0,1,83529
4238,16600,42400,0.16,786,0,0,1,0,0,2,2,1,91.8,0,1,0,61768
4239,5800,27500,0.43,720,0,0,1,0,0,2,3,0,81.5,0,0,0,38304
4240,6600,51000,0.29,979,0,0,1,0,0,2,3,0,119.8,0,0,1,53215
4241,5400,61400,0.15,1248,0,0,2,0,0,3,2,1,9.5,0,0,0,65569
4242,4700,104600,0.2,1060,0,120,1,1,0,3,2,1,4.7,0,0,0,104530
4243,11300,66400,0.11,909,0,0,1,0,0,2,3,1,89.8,0,0,1,78799
4244,22000,73400,0.26,1148,480,312,1,0,0,3,2,1,50.7,264,1,0,121398
4245,20300,102900,0.19,929,360,0,1,0,0,3,2,1,20.3,0,0,1,111081
4246,7300,63800,0.38,1225,0,0,1,0,0,4,3,0,87.2,0,0,1,68000
4247,17100,87700,0.23,994,0,0,1,0,0,3,2,1,46.5,0,0,1,86627
4248,10200,62400,0.11,700,0,0,1,0,0,2,2,0,53.8,0,0,1,71313
4249,10400,72300,0.11,1262,0,0,1,1,0,2,2,1,89.6,0,0,1,86209
4250,34200,175400,0.21,1478,862,150,3,0,1,3,2,1,1.5,440,0,0,196612
4251,45800,214500,0.33,2320,0,150,2,1,1,4,3,1,2.5,724,0,0,251966
4252,35200,149300,0.22,1456,0,144,2,1,0,3,3,1,2.5,440,0,0,174376
4253,20800,58100,0.46,759,0,110,1,0,0,2,2,0,65.7,0,0,1,67470
4254,19600,57600,0.24,1000,0,0,1,0,0,4,1,1,59.8,0,1,0,57017
4255,22100,99400,0.18,969,266,276,1,0,0,3,2,1,39.5,0,0,1,89326
4256,23100,88200,0.22,868,800,96,1,1,0,4,3,1,35.5,0,0,0,133039
4257,12400,60100,0.15,968,0,120,1,0,0,3,2,0,56.7,0,0,0,75072
4258,24800,50300,0.89,720,0,0,1,0,0,2,3,1,93.7,0,0,1,56827
4259,19600,96400,0.25,976,0,159,2,0,0,2,2,1,35.6,0,0,1,102630
4260,17100,83600,0.19,895,0,0,1,0,0,3,2,1,44.4,0,0,1,111081
4261,30000,44200,0.93,624,0,124,1,0,0,1,2,0,83.6,0,0,1,60818
4262,12900,157000,0.2,1568,0,120,2,1,0,3,4,1,1.5,440,0,0,161452
4263,14100,51100,0.17,672,0,0,1,0,0,2,2,0,59.3,0,0,0,71724
4264,14100,122500,0.17,1374,300,166,2,0,1,3,2,1,54.2,0,0,1,132900
4265,14000,78100,0.17,973,200,0,1,0,0,2,2,1,54.7,0,0,0,96453
