Property,LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,PoorCondition,GoodCondition,Price
898,14200,78600,0.2,864,400,0,1,0,0,3,2,1,49.2,0,0,1,95000
899,29600,86200,0.23,988,0,0,1,0,0,3,2,1,52.4,0,0,1,120234
900,26700,100700,0.19,1034,425,210,1,1,0,4,1,1,37.4,0,0,1,147811
901,28900,123300,0.16,1479,0,0,2,0,0,4,2,1,56.2,0,0,1,185000
902,35100,58500,0.45,748,0,144,1,0,0,2,2,1,70.5,0,0,1,109737
903,11400,60800,0.15,893,0,0,1,0,0,2,2,1,93.6,208,0,1,84167
904,35200,68800,1.25,1152,0,0,1,0,0,2,3,1,84.2,0,1,0,40000
905,46500,134000,0.28,1600,0,100,2,1,0,3,2,1,1.6,480,0,0,173424
906,18700,73900,0.16,983,200,168,1,0,0,2,3,1,67,0,0,1,116597
907,28000,54100,0.2,622,0,168,1,0,0,2,2,1,59.5,0,0,1,97364
908,18000,91400,0.17,969,312,130,1,0,0,3,2,1,34.7,0,0,1,128116
909,16400,107500,0.3,1914,0,0,1,0,0,4,4,0,87.7,0,0,1,128213
910,34200,125100,0.22,1032,400,120,2,1,1,3,3,1,3.8,160,0,0,157099
911,15600,96600,0.15,1188,0,0,1,0,0,3,3,0,51.2,0,0,1,117900
912,32200,134300,0.34,1158,230,395,1,1,1,3,2,1,36.5,0,0,1,154241
913,32900,157700,0.22,2070,0,0,2,0,2,4,3,1,66.5,0,0,1,214703
914,20800,71200,0.2,816,0,0,1,0,0,3,2,1,89.9,0,0,1,111933
915,23900,93100,0.16,763,0,388,1,0,1,2,2,1,58.2,0,0,1,126000
916,32900,99200,0.35,1190,0,0,1,0,0,2,3,1,60.2,0,0,1,103500
917,22500,42700,0.32,784,0,275,1,0,0,3,3,0,80,0,0,1,63821
918,23500,165900,0.15,1928,0,120,2,1,1,4,3,1,5.7,400,0,0,184896
919,25100,75300,0.18,672,300,0,1,0,0,2,2,1,58,0,0,1,103000
920,18200,79300,0.19,800,336,0,1,0,1,2,2,1,61.5,0,0,1,103727
921,24300,90400,0.16,823,0,200,1,0,0,2,3,1,70.3,0,0,1,138364
922,25700,101200,0.19,853,800,192,2,0,0,3,1,1,44.9,240,0,1,142371
923,8900,54600,0.15,929,0,0,1,0,0,2,3,1,97.8,0,0,1,78550
924,18800,111300,0.15,1752,0,352,2,0,0,3,5,1,87.3,0,0,0,111900
925,28300,121100,0.19,1508,0,0,2,1,0,3,2,1,47.3,0,0,1,142181
926,15500,34400,0.13,714,0,0,1,0,0,2,2,0,83.4,0,0,1,14791
927,26300,88800,0.43,844,0,120,1,0,0,2,2,1,35.5,0,0,1,104107
928,21900,79600,0.29,1040,0,0,1,1,0,3,1,1,49.8,0,0,1,104078
929,14700,73100,0.15,1078,0,240,1,0,1,2,4,1,96.3,0,0,1,99900
930,15300,55300,0.18,768,0,0,1,0,0,2,2,0,54.9,0,1,0,48995
931,25600,101900,0.2,1003,0,0,1,1,0,2,3,1,57.8,240,0,0,125679
932,44500,169300,0.33,1578,0,132,2,0,1,3,3,1,6.6,440,0,0,209189
933,20800,66400,0.59,720,0,0,1,0,1,2,2,1,55.2,0,0,0,100000
934,9600,41900,0.3,960,0,0,1,0,0,3,2,0,95.8,0,0,0,38560
935,25200,97100,0.19,1128,600,240,2,0,0,2,2,1,28.5,0,0,1,125224
936,23500,111200,0.2,1680,300,280,1,1,0,4,3,1,37,0,0,1,127643
